"filename", "language", "HTML", "XML", "JavaScript", "CSS", "Java", "comment", "blank", "total"
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\util\ImageConverter.java", "Java", 0, 0, 0, 0, 30, 0, 6, 36
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\util\Picture.java", "Java", 0, 0, 0, 0, 68, 1, 27, 96
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\util\PictureType.java", "Java", 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\helpers\AuthenticationException.java", "Java", 0, 0, 0, 0, 6, 0, 3, 9
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\helpers\FacesMessageUtil.java", "Java", 0, 0, 0, 0, 11, 0, 5, 16
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\helpers\ImageHelper.java", "Java", 0, 0, 0, 0, 20, 1, 9, 30
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\helpers\ImageServlet.java", "Java", 0, 0, 0, 0, 10, 17, 2, 29
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\helpers\LayoutConverter.java", "Java", 0, 0, 0, 0, 34, 1, 13, 48
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\helpers\PasswordUtils.java", "Java", 0, 0, 0, 0, 18, 0, 9, 27
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\helpers\RegistrationException.java", "Java", 0, 0, 0, 0, 6, 0, 3, 9
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\main\DataSeedTest.java", "Java", 0, 0, 0, 0, 0, 93, 1, 94
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\main\DataSeeder.java", "Java", 0, 0, 0, 0, 0, 189, 0, 189
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\main\JPAUtil.java", "Java", 0, 0, 0, 0, 19, 0, 5, 24
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\main\main.java", "Java", 0, 0, 0, 0, 0, 122, 0, 122
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\customization\StartupLayoutBean.java", "Java", 0, 0, 0, 0, 18, 0, 8, 26
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\products\AccommodationBean.java", "Java", 0, 0, 0, 0, 283, 25, 94, 402
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\products\CartBean.java", "Java", 0, 0, 0, 0, 446, 55, 141, 642
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\products\CheckoutBean.java", "Java", 0, 0, 0, 0, 75, 2, 25, 102
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\products\DetailsBean.java", "Java", 0, 0, 0, 0, 3, 0, 3, 6
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\products\RestaurantBean.java", "Java", 0, 0, 0, 0, 289, 2, 90, 381
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\products\ServiceBean.java", "Java", 0, 0, 0, 0, 247, 1, 73, 321
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\products\TourPackageBean.java", "Java", 0, 0, 0, 0, 294, 58, 89, 441
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\products\TransportationBean.java", "Java", 0, 0, 0, 0, 288, 2, 89, 379
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\registration\CustomerBean.java", "Java", 0, 0, 0, 0, 115, 1, 37, 153
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\registration\LoginBean.java", "Java", 0, 0, 0, 0, 229, 10, 50, 289
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\registration\OrganizerBean.java", "Java", 0, 0, 0, 0, 303, 67, 75, 445
